x,y,heading,s,dst,angle,delta
-10.160521,-10.396022,1.547033,0.400000,17.703695,-87.688190,-8.060671
-10.157655,-10.398938,1.545695,0.800000,-4.752441,-0.459444,-0.236042
-10.157655,-10.398938,1.545695,1.200000,-4.452097,-0.592806,-0.237364
-10.157655,-10.398938,1.545695,1.600000,-4.093660,0.057538,-0.157993
-10.159863,-10.395890,1.543841,2.000000,-3.695975,0.098611,-0.137978
-10.159863,-10.395890,1.543841,2.400000,-3.300078,0.123615,-0.119642
-10.159863,-10.395890,1.543841,2.800000,-2.901095,0.153330,-0.100711
-10.159863,-10.395890,1.543841,3.200000,-2.501673,0.167433,-0.083324
-10.159863,-10.395890,1.543841,3.600000,-2.102418,0.160956,-0.068001
-10.159863,-10.395890,1.543841,4.000000,-1.703590,0.163553,-0.051788
-10.159863,-10.395890,1.543841,4.400000,-1.305291,0.169756,-0.035236
-10.156474,-10.398360,1.542657,4.800000,-0.907890,0.183930,-0.017923
-10.156474,-10.398360,1.542657,5.200000,-0.509314,0.182298,-0.002143
-10.156474,-10.398360,1.542657,5.600000,-0.151802,0.166205,0.010548
-10.156474,-10.398360,1.542657,5.694650,-0.118658,0.165938,0.011847
-10.156474,-10.398360,1.542657,5.694650,-0.118658,0.165938,0.011847
-10.155343,-10.401731,1.540394,5.694650,-0.118658,0.165938,0.011847
-10.155343,-10.401731,1.540394,5.690408,-0.113538,0.168240,0.012283
-10.155343,-10.401731,1.540394,5.690408,-0.113538,0.168240,0.012283
-10.155343,-10.401731,1.540394,5.690408,-0.113538,0.168240,0.012283
-10.155343,-10.401731,1.540394,5.690408,-0.113538,0.168240,0.012283
-10.155343,-10.401731,1.540394,5.690408,-0.113538,0.168240,0.012283
-10.158219,-10.398863,1.539754,5.690408,-0.113538,0.168240,0.012283
-10.158219,-10.398863,1.539754,5.693426,-0.114730,0.168853,0.012296
-10.158219,-10.398863,1.539754,5.693426,-0.114730,0.168853,0.012296
-10.158219,-10.398863,1.539754,5.693426,-0.114730,0.168853,0.012296
-10.158219,-10.398863,1.539754,5.693426,-0.114730,0.168853,0.012296
-10.158219,-10.398863,1.539754,5.693426,-0.114730,0.168853,0.012296
-10.155478,-10.396279,1.541055,5.693426,-0.114730,0.168853,0.012296
-10.155478,-10.396279,1.541055,5.696041,-0.114226,0.167526,0.012184
-10.155478,-10.396279,1.541055,5.696041,-0.114226,0.167526,0.012184
-10.155478,-10.396279,1.541055,5.696041,-0.114226,0.167526,0.012184
-10.155478,-10.396279,1.541055,5.696041,-0.114226,0.167526,0.012184
-10.155478,-10.396279,1.541055,5.696041,-0.114226,0.167526,0.012184
-10.156251,-10.395784,1.158331,5.696041,-0.114226,0.167526,0.012184
-10.156251,-10.395784,1.158331,5.426426,0.597205,0.555270,0.079415
-10.156251,-10.395784,1.158331,5.426426,0.597205,0.555270,0.079415
-10.156251,-10.395784,1.158331,5.426426,0.597205,0.555270,0.079415
-10.156251,-10.395784,1.158331,5.426426,0.597205,0.555270,0.079415
-10.156251,-10.395784,1.158331,5.426426,0.597205,0.555270,0.079415
-10.154622,-10.395182,1.160598,5.426426,0.597205,0.555270,0.079415
-10.154622,-10.395182,1.160598,5.429289,0.595047,0.552814,0.079083
-10.154622,-10.395182,1.160598,5.429289,0.595047,0.552814,0.079083
-10.154622,-10.395182,1.160598,5.429289,0.595047,0.552814,0.079083
-10.154622,-10.395182,1.160598,5.429289,0.595047,0.552814,0.079083
-10.154622,-10.395182,1.160598,5.429289,0.595047,0.552814,0.079083
-10.148372,-10.395397,1.280124,5.429289,0.595047,0.552814,0.079083
-10.148372,-10.395397,1.280124,5.543226,0.390353,0.428272,0.058441
-10.148372,-10.395397,1.280124,5.543226,0.390353,0.428272,0.058441
-10.148372,-10.395397,1.280124,5.543226,0.390353,0.428272,0.058441
-10.148372,-10.395397,1.280124,5.543226,0.390353,0.428272,0.058441
-10.148372,-10.395397,1.280124,5.543226,0.390353,0.428272,0.058441
-10.144237,-10.395202,0.928358,5.543226,0.390353,0.428272,0.058441
-10.144237,-10.395202,0.928358,5.143226,0.966719,0.798337,0.118502
-10.144237,-10.395202,0.928358,5.127143,0.966588,0.798750,0.118538
-10.144237,-10.395202,0.928358,5.127143,0.966588,0.798750,0.118538
-10.144237,-10.395202,0.928358,5.127143,0.966588,0.798750,0.118538
-10.144237,-10.395202,0.928358,5.127143,0.966588,0.798750,0.118538
-10.143284,-10.396438,0.929915,5.127143,0.966588,0.798750,0.118538
-10.143284,-10.396438,0.929915,5.128024,0.965164,0.797171,0.118324
-10.143284,-10.396438,0.929915,5.128024,0.965164,0.797171,0.118324
-10.143284,-10.396438,0.929915,5.128024,0.965164,0.797171,0.118324
-10.143284,-10.396438,0.929915,5.128024,0.965164,0.797171,0.118324
-10.143284,-10.396438,0.929915,5.128024,0.965164,0.797171,0.118324
-10.139818,-10.398085,1.117072,5.128024,0.965164,0.797171,0.118324
-10.139818,-10.398085,1.117072,5.374680,0.682266,0.599746,0.087265
-10.139818,-10.398085,1.117072,5.374680,0.682266,0.599746,0.087265
-10.139818,-10.398085,1.117072,5.374680,0.682266,0.599746,0.087265
-10.139818,-10.398085,1.117072,5.374680,0.682266,0.599746,0.087265
-10.139818,-10.398085,1.117072,5.374680,0.682266,0.599746,0.087265
-10.136845,-10.392923,1.239378,5.374680,0.682266,0.599746,0.087265
-10.136845,-10.392923,1.239378,5.508993,0.475541,0.468510,0.065873
-10.136845,-10.392923,1.239378,5.508993,0.475541,0.468510,0.065873
-10.136845,-10.392923,1.239378,5.508993,0.475541,0.468510,0.065873
-10.136845,-10.392923,1.239378,5.508993,0.475541,0.468510,0.065873
-10.136845,-10.392923,1.239378,5.508993,0.475541,0.468510,0.065873
-10.136845,-10.392923,1.239378,5.508993,0.475541,0.468510,0.065873
-10.135823,-10.382267,1.325539,5.508993,0.475541,0.468510,0.065873
-10.135823,-10.382267,1.325539,5.590209,0.321142,0.383277,0.051173
-10.135823,-10.382267,1.325539,5.590209,0.321142,0.383277,0.051173
-10.135823,-10.382267,1.325539,5.590209,0.321142,0.383277,0.051173
-10.136184,-10.370632,1.389012,5.590209,0.321142,0.383277,0.051173
-10.136184,-10.370632,1.389012,5.645473,0.203226,0.319884,0.040117
