x,y,heading,s,dst,angle,delta
-9.995419,-17.937338,1.468485,0.400000,4.953652,0.190498,0.068586
-9.995419,-17.937338,1.468485,0.000000,4.660449,0.232040,0.069808
-9.995419,-17.937338,1.468485,0.400000,4.953652,0.190498,0.068586
-9.995419,-17.937338,1.468485,0.000000,4.660449,0.232040,0.069808
-9.995419,-17.937338,1.468485,0.400000,4.953652,0.190498,0.068586
-9.996945,-17.938047,1.491667,0.000000,4.660449,0.232040,0.069808
-9.996945,-17.938047,1.491667,0.400000,4.916357,0.167317,0.065895
-9.996945,-17.938047,1.491667,0.000000,4.621518,0.208858,0.067101
-9.996945,-17.938047,1.491667,0.400000,4.916357,0.167317,0.065895
-9.996945,-17.938047,1.491667,0.000000,4.621518,0.208858,0.067101
-10.000248,-17.934345,1.508200,0.400000,4.916357,0.167317,0.065895
-10.000248,-17.934345,1.508200,0.000000,4.589830,0.192324,0.065131
-10.000248,-17.934345,1.508200,0.400000,4.885780,0.150783,0.063936
-10.000248,-17.934345,1.508200,0.000000,4.589830,0.192324,0.065131
-10.000248,-17.934345,1.508200,0.400000,4.885780,0.150783,0.063936
-10.000248,-17.934345,1.508200,0.000000,4.589830,0.192324,0.065131
-10.002400,-17.934546,1.519473,0.400000,4.885780,0.150783,0.063936
-10.002400,-17.934546,1.519473,0.000000,4.570294,0.181052,0.063808
-10.002400,-17.934546,1.519473,0.400000,4.867133,0.139511,0.062622
-10.002400,-17.934546,1.519473,0.000000,4.570294,0.181052,0.063808
-10.002400,-17.934546,1.519473,0.400000,4.867133,0.139511,0.062622
-10.002400,-17.934546,1.519473,0.000000,4.570294,0.181052,0.063808
-10.003247,-17.936527,1.528793,0.400000,4.867133,0.139511,0.062622
-10.003247,-17.936527,1.528793,0.000000,4.556183,0.171731,0.062735
-10.003247,-17.936527,1.528793,0.400000,4.853809,0.130190,0.061557
-10.003247,-17.936527,1.528793,0.000000,4.556183,0.171731,0.062735
-10.003247,-17.936527,1.528793,0.400000,4.853809,0.130190,0.061557
-10.003247,-17.936527,1.528793,0.000000,4.556183,0.171731,0.062735
-10.002558,-17.935123,1.531078,0.400000,4.853809,0.130190,0.061557
-10.002558,-17.935123,1.531078,0.000000,4.552202,0.169447,0.062467
-10.002558,-17.935123,1.531078,0.400000,4.849908,0.127906,0.061290
-10.002558,-17.935123,1.531078,0.000000,4.552202,0.169447,0.062467
-10.002558,-17.935123,1.531078,0.400000,4.849908,0.127906,0.061290
-10.002558,-17.935123,1.531078,0.000000,4.552202,0.169447,0.062467
-10.008102,-17.939583,0.253747,0.400000,4.849908,0.127906,0.061290
-10.008102,-17.939583,0.253747,0.000000,6.934699,1.446778,0.214025
-10.008102,-17.939583,0.253747,0.400000,7.227534,1.405237,0.212799
-10.008102,-17.939583,0.253747,0.000000,6.934699,1.446778,0.214025
-10.008102,-17.939583,0.253747,0.400000,7.227534,1.405237,0.212799
-10.008102,-17.939583,0.253747,0.000000,6.934699,1.446778,0.214025
-10.007854,-17.939571,0.638577,0.400000,7.227534,1.405237,0.212799
-10.007854,-17.939571,0.638577,0.000000,6.246642,1.061948,0.168661
-10.007854,-17.939571,0.638577,0.400000,6.526199,1.020406,0.167303
-10.007854,-17.939571,0.638577,0.000000,6.246642,1.061948,0.168661
-10.007854,-17.939571,0.638577,0.400000,6.526199,1.020406,0.167303
-10.007854,-17.939571,0.638577,0.000000,6.246642,1.061948,0.168661
-10.007629,-17.935610,0.892769,0.400000,6.526199,1.020406,0.167303
-10.007629,-17.935610,0.892769,0.000000,5.744343,0.807756,0.138219
-10.007629,-17.935610,0.892769,0.400000,6.020385,0.766215,0.136825
-10.007629,-17.935610,0.892769,0.000000,5.744343,0.807756,0.138219
-10.007629,-17.935610,0.892769,0.400000,6.020385,0.766215,0.136825
-10.007629,-17.935610,0.892769,0.000000,5.744343,0.807756,0.138219
-10.004899,-17.936960,1.080371,0.400000,6.020385,0.766215,0.136825
-10.004899,-17.936960,1.080371,0.000000,5.373154,0.620154,0.115747
-10.004899,-17.936960,1.080371,0.400000,5.650595,0.578612,0.114367
-10.004899,-17.936960,1.080371,0.000000,5.373154,0.620154,0.115747
-10.004899,-17.936960,1.080371,0.400000,5.650595,0.578612,0.114367
-10.004899,-17.936960,1.080371,0.000000,5.373154,0.620154,0.115747
-10.002813,-17.938822,1.206628,0.400000,5.650595,0.578612,0.114367
-10.002813,-17.938822,1.206628,0.000000,5.129326,0.493896,0.100683
-10.002813,-17.938822,1.206628,0.400000,5.409969,0.452355,0.099335
-10.002813,-17.938822,1.206628,0.000000,5.129326,0.493896,0.100683
-10.002813,-17.938822,1.206628,0.400000,5.409969,0.452355,0.099335
-10.002647,-17.939024,1.301270,0.000000,5.129326,0.493896,0.100683
-10.002647,-17.939024,1.301270,0.400000,5.235222,0.357713,0.088124
-10.002647,-17.939024,1.301270,0.000000,4.950906,0.399254,0.089435
-10.002647,-17.939024,1.301270,0.400000,5.235222,0.357713,0.088124
-10.002647,-17.939024,1.301270,0.000000,4.950906,0.399254,0.089435
-10.002647,-17.939024,1.301270,0.400000,5.235222,0.357713,0.088124
-10.001585,-17.939501,1.368186,0.000000,4.950906,0.399254,0.089435
-10.001585,-17.939501,1.368186,0.400000,5.117871,0.290797,0.080258
-10.001585,-17.939501,1.368186,0.000000,4.830299,0.332338,0.081537
-10.001585,-17.939501,1.368186,0.400000,5.117871,0.290797,0.080258
-10.001585,-17.939501,1.368186,0.000000,4.830299,0.332338,0.081537
-10.001585,-17.939501,1.368186,0.400000,5.117871,0.290797,0.080258
-10.001585,-17.939501,1.368186,0.000000,4.830299,0.332338,0.081537
-10.000319,-17.938120,1.417600,0.400000,5.117871,0.290797,0.080258
-10.000319,-17.938120,1.417600,0.000000,4.743540,0.282924,0.075728
-10.000319,-17.938120,1.417600,0.400000,5.033784,0.241383,0.074476
-10.000319,-17.938120,1.417600,0.000000,4.743540,0.282924,0.075728
-10.000319,-17.938120,1.417600,0.400000,5.033784,0.241383,0.074476
-9.999083,-17.938379,1.454115,0.000000,4.743540,0.282924,0.075728
-9.999083,-17.938379,1.454115,0.400000,4.974794,0.204869,0.070235
-9.999083,-17.938379,1.454115,0.000000,4.682338,0.246410,0.071464
-9.999083,-17.938379,1.454115,0.400000,4.974794,0.204869,0.070235
-9.999083,-17.938379,1.454115,0.000000,4.682338,0.246410,0.071464
-9.999083,-17.938379,1.454115,0.400000,4.974794,0.204869,0.070235
-9.996931,-17.942760,1.481058,0.000000,4.682338,0.246410,0.071464
-9.996931,-17.942760,1.481058,0.400000,4.936254,0.177925,0.067155
-9.996931,-17.942760,1.481058,0.000000,4.641932,0.219467,0.068366
-9.996931,-17.942760,1.481058,0.400000,4.936254,0.177925,0.067155
-9.996931,-17.942760,1.481058,0.000000,4.641932,0.219467,0.068366
-9.996931,-17.942760,1.481058,0.400000,4.936254,0.177925,0.067155
-9.995982,-17.944094,1.501009,0.000000,4.641932,0.219467,0.068366
-9.995982,-17.944094,1.501009,0.400000,4.906667,0.157975,0.064864
-9.995982,-17.944094,1.501009,0.000000,4.610966,0.199516,0.066061
-9.995982,-17.944094,1.501009,0.400000,4.906667,0.157975,0.064864
-9.995982,-17.944094,1.501009,0.000000,4.610966,0.199516,0.066061
-9.995982,-17.944094,1.501009,0.400000,4.906667,0.157975,0.064864
-9.994674,-17.948107,1.515609,0.000000,4.610966,0.199516,0.066061
-9.994674,-17.948107,1.515609,0.400000,4.887953,0.143375,0.063217
-9.994674,-17.948107,1.515609,0.000000,4.591110,0.184916,0.064403
-9.994674,-17.948107,1.515609,0.400000,4.887953,0.143375,0.063217
-9.994674,-17.948107,1.515609,0.000000,4.591110,0.184916,0.064403
-9.994674,-17.948107,1.515609,0.400000,4.887953,0.143375,0.063217
-9.992529,-17.950720,1.527079,0.000000,4.591110,0.184916,0.064403
-9.992529,-17.950720,1.527079,0.400000,4.873943,0.131905,0.061930
-9.992529,-17.950720,1.527079,0.000000,4.576251,0.173446,0.063107
-9.992529,-17.950720,1.527079,0.400000,4.873943,0.131905,0.061930
-9.992529,-17.950720,1.527079,0.000000,4.576251,0.173446,0.063107
-9.992529,-17.950720,1.527079,0.400000,4.873943,0.131905,0.061930
-9.991534,-17.951170,1.535267,0.000000,4.576251,0.173446,0.063107
-9.991534,-17.951170,1.535267,0.400000,4.862710,0.123717,0.060999
-9.991534,-17.951170,1.535267,0.000000,4.564443,0.165258,0.062170
-9.991534,-17.951170,1.535267,0.400000,4.862710,0.123717,0.060999
-9.991534,-17.951170,1.535267,0.000000,4.564443,0.165258,0.062170
-9.991534,-17.951170,1.535267,0.400000,4.862710,0.123717,0.060999
-9.992649,-17.949793,1.540522,0.000000,4.564443,0.165258,0.062170
-9.992649,-17.949793,1.540522,0.400000,4.853140,0.118462,0.060378
-9.992649,-17.949793,1.540522,0.000000,4.554503,0.160003,0.061545
-9.992649,-17.949793,1.540522,0.400000,4.853140,0.118462,0.060378
-9.992649,-17.949793,1.540522,0.000000,4.554503,0.160003,0.061545
-9.992649,-17.949793,1.540522,0.400000,4.853140,0.118462,0.060378
-9.989394,-17.947840,1.545667,0.000000,4.554503,0.160003,0.061545
-9.989394,-17.947840,1.545667,0.400000,4.846523,0.113317,0.059797
-9.989394,-17.947840,1.545667,0.000000,4.547712,0.154858,0.060963
-9.989394,-17.947840,1.545667,0.400000,4.846523,0.113317,0.059797
-9.989394,-17.947840,1.545667,0.000000,4.547712,0.154858,0.060963
-9.989394,-17.947840,1.545667,0.400000,4.846523,0.113317,0.059797
-9.989565,-17.946009,1.548558,0.000000,4.547712,0.154858,0.060963
-9.989565,-17.946009,1.548558,0.400000,4.840876,0.110426,0.059451
-9.989565,-17.946009,1.548558,0.000000,4.541920,0.151967,0.060616
-9.989565,-17.946009,1.548558,0.400000,4.840876,0.110426,0.059451
-9.989565,-17.946009,1.548558,0.000000,4.541920,0.151967,0.060616
-9.988910,-17.945240,1.551479,0.400000,4.840876,0.110426,0.059451
-9.988910,-17.945240,1.551479,0.000000,4.537411,0.149046,0.060279
-9.988910,-17.945240,1.551479,0.400000,4.836528,0.107505,0.059116
-9.988910,-17.945240,1.551479,0.000000,4.537411,0.149046,0.060279
-9.988910,-17.945240,1.551479,0.400000,4.836528,0.107505,0.059116
-9.988910,-17.945240,1.551479,0.000000,4.537411,0.149046,0.060279
-9.993649,-17.939293,1.552145,0.400000,4.836528,0.107505,0.059116
-9.993649,-17.939293,1.552145,0.000000,4.528912,0.148380,0.060127
-9.993649,-17.939293,1.552145,0.400000,4.828011,0.106839,0.058964
-9.993649,-17.939293,1.552145,0.000000,4.528912,0.148380,0.060127
-9.993649,-17.939293,1.552145,0.400000,4.828011,0.106839,0.058964
-9.993649,-17.939293,1.552145,0.000000,4.528912,0.148380,0.060127
-9.992975,-17.936083,1.554536,0.400000,4.828011,0.106839,0.058964
-9.992975,-17.936083,1.554536,0.000000,4.523651,0.145989,0.059835
-9.992975,-17.936083,1.554536,0.400000,4.822769,0.104448,0.058672
-9.992975,-17.936083,1.554536,0.000000,4.523651,0.145989,0.059835
-9.992975,-17.936083,1.554536,0.400000,4.822769,0.104448,0.058672
-9.992975,-17.936083,1.554536,0.000000,4.523651,0.145989,0.059835
-9.993843,-17.935965,1.933734,0.400000,4.822769,0.104448,0.058672
-9.993843,-17.935965,1.933734,0.000000,4.087439,-0.233210,0.017553
-9.993843,-17.935965,1.933734,0.400000,4.420894,-0.274751,0.016734
-9.993843,-17.935965,1.933734,0.000000,4.087439,-0.233210,0.017553
-9.993843,-17.935965,1.933734,0.400000,4.420894,-0.274751,0.016734
-9.993843,-17.935965,1.933734,0.000000,4.087439,-0.233210,0.017553
-9.991908,-17.936426,1.822872,0.400000,4.420894,-0.274751,0.016734
-9.991908,-17.936426,1.822872,0.000000,4.182046,-0.122347,0.029586
-9.991908,-17.936426,1.822872,0.400000,4.504597,-0.163888,0.028657
-9.991908,-17.936426,1.822872,0.000000,4.182046,-0.122347,0.029586
-9.991908,-17.936426,1.822872,0.400000,4.504597,-0.163888,0.028657
-9.991908,-17.936426,1.822872,0.000000,4.182046,-0.122347,0.029586
-9.992060,-17.936918,1.748298,0.400000,4.504597,-0.163888,0.028657
-9.992060,-17.936918,1.748298,0.000000,4.262107,-0.047773,0.037844
-9.992060,-17.936918,1.748298,0.400000,4.577627,-0.089314,0.036845
-9.992060,-17.936918,1.748298,0.000000,4.262107,-0.047773,0.037844
-9.992060,-17.936918,1.748298,0.400000,4.577627,-0.089314,0.036845
-9.992060,-17.936918,1.748298,0.000000,4.262107,-0.047773,0.037844
-9.990152,-17.936041,1.694202,0.400000,4.577627,-0.089314,0.036845
-9.990152,-17.936041,1.694202,0.000000,4.328706,0.006323,0.043919
-9.990152,-17.936041,1.694202,0.400000,4.639210,-0.035218,0.042870
-9.990152,-17.936041,1.694202,0.000000,4.328706,0.006323,0.043919
-9.990152,-17.936041,1.694202,0.400000,4.639210,-0.035218,0.042870
-9.990152,-17.936041,1.694202,0.000000,4.328706,0.006323,0.043919
-9.992581,-17.931219,1.658688,0.400000,4.639210,-0.035218,0.042870
-9.992581,-17.931219,1.658688,0.000000,4.370240,0.041837,0.047886
-9.992581,-17.931219,1.658688,0.400000,4.677548,0.000296,0.046805
-9.992581,-17.931219,1.658688,0.000000,4.370240,0.041837,0.047886
-9.992581,-17.931219,1.658688,0.400000,4.677548,0.000296,0.046805
-9.992581,-17.931219,1.658688,0.000000,4.370240,0.041837,0.047886
-9.994199,-17.927656,1.631289,0.400000,4.677548,0.000296,0.046805
-9.994199,-17.927656,1.631289,0.000000,4.404323,0.069236,0.050967
-9.994199,-17.927656,1.631289,0.400000,4.709232,0.027695,0.049862
-9.994199,-17.927656,1.631289,0.000000,4.404323,0.069236,0.050967
