x,y,heading,s,dst,angle,delta
-9.899984,-12.434131,1.589907,6.642547,0.092724,0.045852,0.023130
-9.899984,-12.434131,1.589907,6.642547,0.092724,0.045852,0.023130
-9.900680,-12.436177,1.638889,6.642547,0.092724,0.045852,0.023130
-9.900680,-12.436177,1.638889,6.645726,-0.152934,-0.003489,-0.030936
-9.900680,-12.436177,1.638889,6.645726,-0.152934,-0.003489,-0.030936
-9.900680,-12.436177,1.638889,6.645726,-0.152934,-0.003489,-0.030936
-9.900680,-12.436177,1.638889,6.645726,-0.152934,-0.003489,-0.030936
-9.900680,-12.436177,1.638889,6.645726,-0.152934,-0.003489,-0.030936
-9.900680,-12.436177,1.638889,6.645726,-0.152934,-0.003489,-0.030936
-9.900334,-12.435095,1.641052,6.645726,-0.152934,-0.003489,-0.030936
-9.900334,-12.435095,1.641052,6.646716,-0.163332,-0.005763,-0.033243
-9.900334,-12.435095,1.641052,6.646716,-0.163332,-0.005763,-0.033243
-9.900334,-12.435095,1.641052,6.646716,-0.163332,-0.005763,-0.033243
-9.899172,-12.438833,1.622663,6.646716,-0.163332,-0.005763,-0.033243
-9.899172,-12.438833,1.622663,6.642627,-0.070474,0.013086,-0.012786
-9.899172,-12.438833,1.622663,6.642627,-0.070474,0.013086,-0.012786
-9.899172,-12.438833,1.622663,6.642627,-0.070474,0.013086,-0.012786
-9.899172,-12.438833,1.622663,6.642627,-0.070474,0.013086,-0.012786
-9.899172,-12.438833,1.622663,6.642627,-0.070474,0.013086,-0.012786
-9.898510,-12.441166,1.661124,6.642627,-0.070474,0.013086,-0.012786
-9.898510,-12.441166,1.661124,6.639178,-0.262253,-0.024983,-0.054949
-9.898510,-12.441166,1.661124,6.639178,-0.262253,-0.024983,-0.054949
-9.898510,-12.441166,1.661124,6.639178,-0.262253,-0.024983,-0.054949
-9.898510,-12.441166,1.661124,6.639178,-0.262253,-0.024983,-0.054949
-9.898510,-12.441166,1.661124,6.639178,-0.262253,-0.024983,-0.054949
-9.898510,-12.441166,1.661124,6.639178,-0.262253,-0.024983,-0.054949
-9.896823,-12.442347,1.635569,6.639178,-0.262253,-0.024983,-0.054949
-9.896823,-12.442347,1.635569,6.639445,-0.132886,0.000541,-0.026523
